Condition,Trial,Reaction Time (ms),TMS Intensity,EMS Intensity,Rating,EMS Timing (ms)
ems-flex,1,282.5,0,9,3,116
ems-flex,2,215.75,0,9,4,116
ems-flex,3,232.25,0,9,4,116
ems-flex,4,215.75,0,9,3,116
ems-flex,5,232.5,0,9,4,116
ems-flex,6,215.75,0,9,3,116
ems-flex,7,299,0,9,4,116
ems-flex,8,232.5,0,9,4,116
ems-flex,9,216,0,9,5,116
ems-flex,10,215.75,0,9,4,116
ems-flex,11,232.5,0,9,4,116
ems-flex,12,232.25,0,9,4,116
ems-flex,13,215.75,0,9,3,116
ems-flex,14,215.75,0,9,6,116
ems-flex,15,215.75,0,9,3,116
ems-flex,16,216,0,9,4,116
ems-flex,17,215.75,0,9,5,116
ems-flex,18,232.5,0,9,4,116
ems-flex,19,215.75,0,9,4,116
ems-flex,20,215.75,0,9,3,116
tms-sub,1,234,40,0,4,116
tms-sub,2,234.25,40,0,3,116
tms-sub,3,284.25,40,0,4,116
tms-sub,4,184.25,40,0,4,116
tms-sub,5,234,40,0,5,116
tms-sub,6,200.75,40,0,4,116
tms-sub,7,184.25,40,0,5,116
tms-sub,8,250.75,40,0,5,116
tms-sub,9,200.75,40,0,5,116
tms-sub,10,234.25,40,0,4,116
tms-sub,11,217.5,40,0,5,116
tms-sub,12,250.75,40,0,5,116
tms-sub,13,317.5,40,0,4,116
tms-sub,14,217.5,40,0,4,116
tms-sub,15,234.25,40,0,5,116
tms-sub,16,200.75,40,0,5,116
tms-sub,17,217.75,40,0,5,116
tms-sub,18,234,40,0,4,116
tms-sub,19,217.5,40,0,5,116
tms-sub,20,236,40,0,5,116
tms-sham,1,250.75,40,0,5,116
tms-sham,2,217.5,40,0,4,116
tms-sham,3,217.5,40,0,4,116
tms-sham,4,234.25,40,0,5,116
tms-sham,5,217.5,40,0,4,116
tms-sham,6,217.5,40,0,3,116
tms-sham,7,234,40,0,4,116
tms-sham,8,234.25,40,0,4,116
tms-sham,9,217.75,40,0,5,116
tms-sham,10,217.25,40,0,4,116
tms-sham,11,269.5,40,0,3,116
tms-sham,12,234,40,0,4,116
tms-sham,13,234,40,0,4,116
tms-sham,14,217.75,40,0,4,116
tms-sham,15,217.5,40,0,4,116
tms-sham,16,234.25,40,0,5,116
tms-sham,17,217.25,40,0,5,116
tms-sham,18,267.5,40,0,5,116
tms-sham,19,217.25,40,0,4,116
tms-sham,20,300.75,40,0,5,116
