Condition,Trial,Reaction Time (ms),TMS Intensity,EMS Intensity,Rating,EMS Timing (ms)
tms-sub,1,201,50,0,5,121
tms-sub,2,217.5,50,0,7,121
tms-sub,3,284.25,50,0,6,121
tms-sub,4,186,50,0,6,121
tms-sub,5,201,50,0,7,121
tms-sub,6,217.5,50,0,7,121
tms-sub,7,251,50,0,7,121
tms-sub,8,234,50,0,6,121
tms-sub,9,117.5,50,0,6,121
tms-sub,10,200.75,50,0,6,121
tms-sub,11,217.5,50,0,7,121
tms-sub,12,284.25,50,0,7,121
tms-sub,13,185.75,50,0,7,121
tms-sub,14,184,50,0,6,121
tms-sub,15,200.75,50,0,4,121
tms-sub,16,252.5,50,0,7,121
tms-sub,17,184.25,50,0,7,121
tms-sub,18,167.5,50,0,1,121
tms-sub,19,252.5,50,0,7,121
tms-sub,20,217.5,50,0,7,121
ems-flex,1,234,0,9,1,121
ems-flex,2,202.5,0,9,1,121
ems-flex,3,217.5,0,9,4,121
ems-flex,4,200.75,0,9,3,121
ems-flex,5,217.5,0,9,1,121
ems-flex,6,185.75,0,9,2,121
ems-flex,7,217.5,0,9,5,121
ems-flex,8,184.25,0,9,1,121
ems-flex,9,234.25,0,9,1,121
ems-flex,10,217.5,0,9,1,121
ems-flex,11,234,0,9,1,121
ems-flex,12,234.25,0,9,4,121
ems-flex,13,217.5,0,9,2,121
ems-flex,14,217.5,0,9,2,121
ems-flex,15,217.5,0,9,1,121
ems-flex,16,234.25,0,9,1,121
ems-flex,17,217.5,0,9,1,121
ems-flex,18,217.75,0,9,3,121
ems-flex,19,234.25,0,9,1,121
ems-flex,20,234.25,0,9,2,121
tms-sham,1,252.5,50,0,7,121
tms-sham,2,217.5,50,0,7,121
tms-sham,3,200.75,50,0,7,121
tms-sham,4,234.25,50,0,7,121
tms-sham,5,217.5,50,0,7,121
tms-sham,6,202.5,50,0,7,121
tms-sham,7,184.25,50,0,7,121
tms-sham,8,234.25,50,0,7,121
tms-sham,9,200.75,50,0,7,121
tms-sham,10,217.5,50,0,7,121
tms-sham,11,234.25,50,0,7,121
tms-sham,12,234.25,50,0,7,121
tms-sham,13,200.75,50,0,7,121
tms-sham,14,217.5,50,0,7,121
tms-sham,15,217.5,50,0,7,121
tms-sham,16,201,50,0,7,121
tms-sham,17,284.25,50,0,7,121
tms-sham,18,217.5,50,0,7,121
tms-sham,19,184.25,50,0,7,121
tms-sham,20,200.75,50,0,7,121
