Condition,Trial,Reaction Time (ms),TMS Intensity,EMS Intensity,Rating,EMS Timing (ms)
ems-flex,1,184.25,0,10,1,116
ems-flex,2,167.5,0,10,3,116
ems-flex,3,184.25,0,10,1,116
ems-flex,4,184,0,10,1,116
ems-flex,5,184.25,0,10,1,116
ems-flex,6,200.75,0,10,1,116
ems-flex,7,184.25,0,10,1,116
ems-flex,8,184.25,0,10,1,116
ems-flex,9,184,0,10,1,116
ems-flex,10,167.5,0,10,1,116
ems-flex,11,184.5,0,10,3,116
ems-flex,12,184.25,0,10,2,116
ems-flex,13,200.75,0,10,2,116
ems-flex,14,184.25,0,10,1,116
ems-flex,15,200.75,0,10,1,116
ems-flex,16,184.25,0,10,2,116
ems-flex,17,201,0,10,7,116
ems-flex,18,200.75,0,10,1,116
ems-flex,19,184.25,0,10,1,116
ems-flex,20,184.25,0,10,2,116
tms-sham,1,184.25,53,0,7,116
tms-sham,2,184.25,53,0,3,116
tms-sham,3,234.25,53,0,7,116
tms-sham,4,284,53,0,7,116
tms-sham,5,167.5,53,0,6,116
tms-sham,6,167.5,53,0,7,116
tms-sham,7,217.5,53,0,7,116
tms-sham,8,234.25,53,0,1,116
tms-sham,9,184,53,0,5,116
tms-sham,10,167.5,53,0,5,116
tms-sham,11,234.25,53,0,2,116
tms-sham,12,217.5,53,0,3,116
tms-sham,13,217.5,53,0,1,116
tms-sham,14,167.5,53,0,5,116
tms-sham,15,184.25,53,0,3,116
tms-sham,16,234.25,53,0,6,116
tms-sham,17,167.5,53,0,1,116
tms-sham,18,184.25,53,0,7,116
tms-sham,19,167.75,53,0,7,116
tms-sham,20,167.5,53,0,1,116
tms-sub,1,184.25,53,0,7,116
tms-sub,2,250.75,53,0,3,116
tms-sub,3,167.5,53,0,5,116
tms-sub,4,167.75,53,0,1,116
tms-sub,5,169.5,53,0,1,116
tms-sub,6,167.75,53,0,1,116
tms-sub,7,251,53,0,2,116
tms-sub,8,184.25,53,0,2,116
tms-sub,9,184.25,53,0,3,116
tms-sub,10,167.5,53,0,1,116
tms-sub,11,167.5,53,0,1,116
tms-sub,12,167.5,53,0,1,116
tms-sub,13,167.5,53,0,1,116
tms-sub,14,201,53,0,5,116
tms-sub,15,151,53,0,7,116
tms-sub,16,184.25,53,0,7,116
tms-sub,17,201,53,0,7,116
tms-sub,18,184,53,0,3,116
tms-sub,19,267.5,53,0,7,116
tms-sub,20,184.25,53,0,3,116
