Condition,Trial,Reaction Time (ms),TMS Intensity,EMS Intensity,Rating,EMS Timing (ms)
ems-flex,1,207.25,0,9,4,116
ems-flex,2,190.75,0,9,2,116
ems-flex,3,207.25,0,9,3,116
ems-flex,4,207.25,0,9,3,116
ems-flex,5,207.25,0,9,3,116
ems-flex,6,207.25,0,9,3,116
ems-flex,7,207.25,0,9,3,116
ems-flex,8,207.25,0,9,3,116
ems-flex,9,224,0,9,1,116
ems-flex,10,223.75,0,9,2,116
ems-flex,11,207.25,0,9,2,116
ems-flex,12,207.25,0,9,2,116
ems-flex,13,207.25,0,9,2,116
ems-flex,14,207.25,0,9,3,116
ems-flex,15,223.75,0,9,2,116
ems-flex,16,207.25,0,9,3,116
ems-flex,17,207.25,0,9,1,116
ems-flex,18,190.5,0,9,2,116
ems-flex,19,207.25,0,9,1,116
ems-flex,20,207.25,0,9,1,116
tms-sub,1,184,42,0,3,116
tms-sub,2,167.25,42,0,4,116
tms-sub,3,350.5,42,0,6,116
tms-sub,4,167.25,42,0,4,116
tms-sub,5,183.75,42,0,5,116
tms-sub,6,184,42,0,5,116
tms-sub,7,183.75,42,0,5,116
tms-sub,8,234,42,0,7,116
tms-sub,9,167.25,42,0,5,116
tms-sub,10,183.75,42,0,6,116
tms-sub,11,250.75,42,0,7,116
tms-sub,12,167.25,42,0,5,116
tms-sub,13,267.25,42,0,6,116
tms-sub,14,184,42,0,6,116
tms-sub,15,217.25,42,0,7,116
tms-sub,16,200.5,42,0,7,116
tms-sub,17,267,42,0,7,116
tms-sub,18,200.5,42,0,5,116
tms-sub,19,217.25,42,0,7,116
tms-sub,20,167.25,42,0,5,116
tms-sham,1,250.5,42,0,7,116
tms-sham,2,134,42,0,6,116
tms-sham,3,234,42,0,6,116
tms-sham,4,167.25,42,0,4,116
tms-sham,5,250.5,42,0,7,116
tms-sham,6,167.25,42,0,4,116
tms-sham,7,184,42,0,4,116
tms-sham,8,184,42,0,4,116
tms-sham,9,184,42,0,6,116
tms-sham,10,200.5,42,0,7,116
tms-sham,11,200.5,42,0,5,116
tms-sham,12,500.5,42,0,7,116
tms-sham,13,183.75,42,0,6,116
tms-sham,14,184,42,0,5,116
tms-sham,15,250.5,42,0,7,116
tms-sham,16,217.25,42,0,6,116
tms-sham,17,167.25,42,0,6,116
tms-sham,18,233.75,42,0,7,116
tms-sham,19,284,42,0,7,116
tms-sham,20,200.5,42,0,7,116
