Condition,Trial,Reaction Time (ms),TMS Intensity,EMS Intensity,Rating,EMS Timing (ms)
tms-sham,1,184.25,52,0,7,116
tms-sham,2,217.5,52,0,7,116
tms-sham,3,200.75,52,0,7,116
tms-sham,4,200.75,52,0,6,116
tms-sham,5,184.25,52,0,7,116
tms-sham,6,201,52,0,7,116
tms-sham,7,184,52,0,7,116
tms-sham,8,184.25,52,0,6,116
tms-sham,9,167.5,52,0,7,116
tms-sham,10,200.75,52,0,7,116
tms-sham,11,184.5,52,0,7,116
tms-sham,12,167.5,52,0,7,116
tms-sham,13,184,52,0,7,116
tms-sham,14,184.25,52,0,7,116
tms-sham,15,200.75,52,0,7,116
tms-sham,16,167.25,52,0,7,116
tms-sham,17,184,52,0,7,116
tms-sham,18,184,52,0,7,116
tms-sham,19,184.25,52,0,7,116
tms-sham,20,151,52,0,7,116
ems-flex,1,185.75,0,10,1,116
ems-flex,2,169,0,10,3,116
ems-flex,3,169,0,10,2,116
ems-flex,4,202.5,0,10,4,116
ems-flex,5,169.25,0,10,2,116
ems-flex,6,169.25,0,10,3,116
ems-flex,7,185.75,0,10,4,116
ems-flex,8,185.75,0,10,3,116
ems-flex,9,169.25,0,10,1,116
ems-flex,10,185.75,0,10,1,116
ems-flex,11,169.25,0,10,2,116
ems-flex,12,185.75,0,10,4,116
ems-flex,13,169,0,10,2,116
ems-flex,14,185.75,0,10,1,116
ems-flex,15,185.75,0,10,1,116
ems-flex,16,169.25,0,10,1,116
ems-flex,17,185.75,0,10,1,116
ems-flex,18,185.75,0,10,1,116
ems-flex,19,169,0,10,1,116
ems-flex,20,193.25,0,10,3,116
tms-sub,1,200.75,52,0,5,116
tms-sub,2,184,52,0,7,116
tms-sub,3,184,52,0,5,116
tms-sub,4,184,52,0,7,116
tms-sub,5,186,52,0,7,116
tms-sub,6,184.25,52,0,7,116
tms-sub,7,200.75,52,0,7,116
tms-sub,8,184,52,0,7,116
tms-sub,9,184,52,0,7,116
tms-sub,10,184,52,0,7,116
tms-sub,11,184,52,0,7,116
tms-sub,12,167.25,52,0,7,116
tms-sub,13,184.25,52,0,7,116
tms-sub,14,200.75,52,0,7,116
tms-sub,15,184.25,52,0,7,116
tms-sub,16,169.25,52,0,7,116
tms-sub,17,184.25,52,0,7,116
tms-sub,18,184.25,52,0,7,116
tms-sub,19,184,52,0,7,116
tms-sub,20,201,52,0,7,116
