Condition,Trial,Reaction Time (ms),TMS Intensity,EMS Intensity,Rating,EMS Timing (ms)
tms-sub,1,234,40,0,6,121
tms-sub,2,217.5,40,0,7,121
tms-sub,3,217.5,40,0,7,121
tms-sub,4,200.75,40,0,6,121
tms-sub,5,203,40,0,7,121
tms-sub,6,234,40,0,7,121
tms-sub,7,250.75,40,0,7,121
tms-sub,8,234,40,0,6,121
tms-sub,9,200.75,40,0,7,121
tms-sub,10,200.75,40,0,7,121
tms-sub,11,217.5,40,0,7,121
tms-sub,12,200.75,40,0,7,121
tms-sub,13,267.5,40,0,7,121
tms-sub,14,234.25,40,0,6,121
tms-sub,15,234,40,0,5,121
tms-sub,16,201,40,0,7,121
tms-sub,17,202.5,40,0,7,121
tms-sub,18,200.75,40,0,4,121
tms-sub,19,200.75,40,0,5,121
tms-sub,20,200.75,40,0,7,121
ems-flex,1,201.25,0,10,3,121
ems-flex,2,201.25,0,10,3,121
ems-flex,3,218,0,10,7,121
ems-flex,4,217.75,0,10,1,121
ems-flex,5,218,0,10,2,121
ems-flex,6,217.75,0,10,1,121
ems-flex,7,217.75,0,10,4,121
ems-flex,8,218,0,10,2,121
ems-flex,9,217.75,0,10,3,121
ems-flex,10,203,0,10,1,121
ems-flex,11,203,0,10,5,121
ems-flex,12,203,0,10,2,121
ems-flex,13,201.25,0,10,4,121
ems-flex,14,218,0,10,6,121
ems-flex,15,217.75,0,10,4,121
ems-flex,16,218,0,10,3,121
ems-flex,17,217.75,0,10,5,121
ems-flex,18,201.25,0,10,2,121
ems-flex,19,201,0,10,1,121
ems-flex,20,217.75,0,10,1,121
tms-sham,1,219.25,40,0,7,121
tms-sham,2,217.5,40,0,7,121
tms-sham,3,217.5,40,0,7,121
tms-sham,4,217.5,40,0,7,121
tms-sham,5,234,40,0,7,121
tms-sham,6,267.5,40,0,7,121
tms-sham,7,201,40,0,7,121
tms-sham,8,200.75,40,0,6,121
tms-sham,9,234,40,0,7,121
tms-sham,10,201,40,0,7,121
tms-sham,11,217.5,40,0,7,121
tms-sham,12,200.75,40,0,7,121
tms-sham,13,217.5,40,0,6,121
tms-sham,14,217.5,40,0,4,121
tms-sham,15,186,40,0,7,121
tms-sham,16,267.5,40,0,5,121
tms-sham,17,200.75,40,0,7,121
tms-sham,18,184.25,40,0,7,121
tms-sham,19,200.75,40,0,7,121
tms-sham,20,217.5,40,0,7,121
