Condition,Trial,Reaction Time (ms),TMS Intensity,EMS Intensity,Rating,EMS Timing (ms)
ems-flex,1,250.75,0,9,3,121
ems-flex,2,200.75,0,9,6,121
ems-flex,3,200.75,0,9,5,121
ems-flex,4,184.25,0,9,5,121
ems-flex,5,200.75,0,9,2,121
ems-flex,6,184,0,9,5,121
ems-flex,7,200.75,0,9,6,121
ems-flex,8,184.25,0,9,5,121
ems-flex,9,184,0,9,5,121
ems-flex,10,184.25,0,9,4,121
ems-flex,11,200.75,0,9,6,121
ems-flex,12,251,0,9,5,121
ems-flex,13,200.75,0,9,6,121
ems-flex,14,184,0,9,6,121
ems-flex,15,217.5,0,9,6,121
ems-flex,16,217.75,0,9,4,121
ems-flex,17,217.5,0,9,2,121
ems-flex,18,200.75,0,9,3,121
ems-flex,19,217.75,0,9,3,121
ems-flex,20,202.5,0,9,4,121
tms-sham,1,217.25,50,0,7,121
tms-sham,2,217.5,50,0,7,121
tms-sham,3,200.75,50,0,7,121
tms-sham,4,200.75,50,0,7,121
tms-sham,5,217.5,50,0,7,121
tms-sham,6,217.5,50,0,6,121
tms-sham,7,217.5,50,0,7,121
tms-sham,8,217.5,50,0,7,121
tms-sham,9,217.5,50,0,7,121
tms-sham,10,217.5,50,0,7,121
tms-sham,11,217.5,50,0,7,121
tms-sham,12,217.5,50,0,7,121
tms-sham,13,217.5,50,0,7,121
tms-sham,14,202.5,50,0,7,121
tms-sham,15,201,50,0,7,121
tms-sham,16,200.75,50,0,7,121
tms-sham,17,217.25,50,0,7,121
tms-sham,18,202.5,50,0,7,121
tms-sham,19,184,50,0,7,121
tms-sham,20,217.5,50,0,7,121
tms-sub,1,234,50,0,7,121
tms-sub,2,200.75,50,0,7,121
tms-sub,3,200.75,50,0,7,121
tms-sub,4,184.25,50,0,7,121
tms-sub,5,217.5,50,0,7,121
tms-sub,6,184.25,50,0,7,121
tms-sub,7,201,50,0,7,121
tms-sub,8,200.75,50,0,7,121
tms-sub,9,200.75,50,0,7,121
tms-sub,10,200.75,50,0,7,121
tms-sub,11,200.75,50,0,7,121
tms-sub,12,184,50,0,7,121
tms-sub,13,184.25,50,0,7,121
tms-sub,14,167.5,50,0,7,121
tms-sub,15,184,50,0,7,121
tms-sub,16,201,50,0,7,121
tms-sub,17,217.25,50,0,7,121
tms-sub,18,200.75,50,0,7,121
tms-sub,19,200.75,50,0,7,121
tms-sub,20,200.75,50,0,7,121
