Condition,Trial,Reaction Time (ms),TMS Intensity,EMS Intensity,Rating,EMS Timing (ms)
tms-sham,1,284.25,40,0,5,121
tms-sham,2,167.25,40,0,7,121
tms-sham,3,217.5,40,0,7,121
tms-sham,4,184.25,40,0,7,121
tms-sham,5,201,40,0,7,121
tms-sham,6,217.5,40,0,7,121
tms-sham,7,200.75,40,0,6,121
tms-sham,8,200.75,40,0,6,121
tms-sham,9,217.5,40,0,7,121
tms-sham,10,184,40,0,6,121
tms-sham,11,267.5,40,0,7,121
tms-sham,12,184.25,40,0,7,121
tms-sham,13,167.5,40,0,6,121
tms-sham,14,200.75,40,0,7,121
tms-sham,15,217.5,40,0,6,121
tms-sham,16,184.25,40,0,6,121
tms-sham,17,267.25,40,0,6,121
tms-sham,18,200.75,40,0,7,121
tms-sham,19,334.5,40,0,7,121
tms-sham,20,184.25,40,0,7,121
tms-sub,1,167.5,40,0,5,121
tms-sub,2,234,40,0,6,121
tms-sub,3,217.25,40,0,5,121
tms-sub,4,151,40,0,7,121
tms-sub,5,184,40,0,6,121
tms-sub,6,184.25,40,0,7,121
tms-sub,7,184.25,40,0,7,121
tms-sub,8,167.5,40,0,6,121
tms-sub,9,184.25,40,0,7,121
tms-sub,10,234.25,40,0,5,121
tms-sub,11,234.25,40,0,6,121
tms-sub,12,184.25,40,0,6,121
tms-sub,13,267.5,40,0,7,121
tms-sub,14,201,40,0,7,121
tms-sub,15,201,40,0,6,121
tms-sub,16,250.75,40,0,7,121
tms-sub,17,317.25,40,0,7,121
tms-sub,18,184,40,0,6,121
tms-sub,19,200.75,40,0,7,121
tms-sub,20,200.75,40,0,7,121
ems-flex,1,151,0,10,5,121
ems-flex,2,201,0,10,2,121
ems-flex,3,217.5,0,10,4,121
ems-flex,4,217.5,0,10,2,121
ems-flex,5,200.75,0,10,1,121
ems-flex,6,217.5,0,10,4,121
ems-flex,7,200.75,0,10,3,121
ems-flex,8,217.5,0,10,3,121
ems-flex,9,200.75,0,10,2,121
ems-flex,10,184.25,0,10,2,121
ems-flex,11,217.5,0,10,1,121
ems-flex,12,200.75,0,10,3,121
ems-flex,13,217.5,0,10,1,121
ems-flex,14,217.25,0,10,1,121
ems-flex,15,217.5,0,10,6,121
ems-flex,16,201,0,10,4,121
ems-flex,17,184.25,0,10,1,121
ems-flex,18,217.5,0,10,4,121
ems-flex,19,200.75,0,10,5,121
ems-flex,20,200.75,0,10,7,121
